Produto;Preço;Pgto.;Nº Parcelas;Data;Cliente;E-mail;Estado;Regiao;DDD;Telefone
Produto C;R$ 2.000;Cartão de Credito;3;6-Jan-18;Carmen Martins;carmen@yahoo.com.br;São Paulo;Sudeste;11;991000000
Produto B;R$ 1.000;Cartão de Credito;12;6-Jan-18;Joyce Martins;joyce@yahoo.com.br;Rio Grande do Sul;Sul;51;982500000
Produto B;R$ 1.000;Cartão de Credito;12;6-Jan-18;Nilo Martins;nilo@gmail.com;Ceará;Nordeste;85;986400000
Produto A;R$ 500;Cartão de Credito;12;6-Jan-18;Leandro Martins;leandro@gmail.com;São Paulo;Sudeste;11;992000000
Produto B;R$ 1.000;Cartão de Credito;12;6-Jan-18;Gil Martins;gil@gmail.com;São Paulo;Sudeste;11;979900000
Produto C;R$ 2.000;Cartão de Credito;1;6-Jan-18;Andrei Martins;andrei@gmail.com;São Paulo;Sudeste;11;968100000
Produto A;R$ 500;Cartão de Credito;12;6-Jan-18;Leciana Martins;leciana@gmail.com;São Paulo;Sudeste;11;949600000
Produto C;R$ 2.000;Cartão de Credito;1;7-Jan-18;Vítor Martins;vitor@gmail.com;Distrito Federal;Centro-Oeste;61;981700000
Produto B;R$ 1.000;Cartão de Credito;6;7-Jan-18;Ceres Martins;ceres@hotmail.com;Bahia;Nordeste;71;991000000
Produto A;R$ 500;Boleto Bancário;1;7-Jan-18;Kleber Martins;kleber@gmail.com;Rio de Janeiro;Sudeste;21;988900000
Produto C;R$ 2.000;Boleto Bancário;1;7-Jan-18;Cristiano Martins;cristiano@live.com;Minas Gerais;Sudeste;31;988800000
Produto A;R$ 500;Cartão de Credito;1;7-Jan-18;Janine Martins;janine@gmail.com;Goiás;Centro-Oeste;62;981300000
Produto B;R$ 1.000;Boleto Bancário;1;7-Jan-18;Alberty Martins;alberty@hotmail.com;São Paulo;Sudeste;15;981800000
Produto B;R$ 1.000;Cartão de Credito;10;7-Jan-18;Yasmim Martins;yasmim@gmail.com;Rio de Janeiro;Sudeste;21;999400000
Produto A;R$ 500;Boleto Bancário;1;8-Jan-18;Alyson Martins;alyson@gmail.com;Paraná;Sul;41;997600000
Produto C;R$ 2.000;Cartão de Credito;3;8-Jan-18;Matheus Martins;matheus@gmail.com;São Paulo;Sudeste;19;981200000
Produto C;R$ 2.000;Cartão de Credito;1;8-Jan-18;Cauê Martins;caue@hotmail.com;São Paulo;Sudeste;11;993600000
Produto A;R$ 500;Cartão de Credito;1;8-Jan-18;Delaide Martins;delaide@gmail.com;São Paulo;Sudeste;11;988400000
Produto A;R$ 500;Boleto Bancário;1;8-Jan-18;Malcon Martins;malcon@gmail.com;Rio de Janeiro;Sudeste;21;970600000
Produto B;R$ 1.000;Cartão de Credito;1;8-Jan-18;Expedito Martins;expedito@gmail.com;Paraíba;Nordeste;83;988100000
Produto A;R$ 500;Cartão de Credito;12;9-Jan-18;Abraão Martins;abraao@yahoo.com.br;Rio de Janeiro;Sudeste;21;994900000
Produto C;R$ 2.000;Cartão de Credito;12;9-Jan-18;William Martins;william@gmail.com;Rio de Janeiro;Sudeste;21;999700000
Produto B;R$ 1.000;Cartão de Credito;6;9-Jan-18;Handel Martins;handel@outlook.com.br;Goiás;Centro-Oeste;62;993500000
Produto B;R$ 1.000;Cartão de Credito;5;9-Jan-18;Raysa Martins;raysa@hotmail.com;Rio de Janeiro;Sudeste;21;979900000
Produto C;R$ 2.000;Cartão de Credito;12;9-Jan-18;Osmana Martins;osmana@hotmail.com;São Paulo;Sudeste;12;981600000
Produto B;R$ 1.000;Cartão de Credito;2;10-Jan-18;Ezequiel Martins;ezequiel@gmail.com;Rio Grande do Sul;Sul;51;999800000
Produto C;R$ 2.000;Cartão de Credito;12;10-Jan-18;Valeria Martins;valeria@gmail.com;São Paulo;Sudeste;11;991800000
Produto C;R$ 2.000;Cartão de Credito;8;10-Jan-18;Kevin Martins;kevin@gmail.com;Bahia;Nordeste;71;982100000
Produto B;R$ 1.000;Cartão de Credito;12;10-Jan-18;Ivanise Martins;ivanise@hotmail.com;Rio de Janeiro;Sudeste;21;996900000
Produto A;R$ 500;Boleto Bancário;1;11-Jan-18;Milene Martins;milene@gmail.com;São Paulo;Sudeste;11;960900000
Produto A;R$ 500;Cartão de Credito;6;11-Jan-18;Mauricio Martins;mauricio@outlook.com;São Paulo;Sudeste;11;990100000
Produto B;R$ 1.000;Boleto Bancário;1;11-Jan-18;Sales Martins;sales@hotmail.com;Roraima;Norte;95;981000000
Produto C;R$ 2.000;Cartão de Credito;5;11-Jan-18;Welington Martins;welington@hotmail.com;Minas Gerais;Sudeste;33;999400000
Produto A;R$ 500;Boleto Bancário;1;11-Jan-18;Carpeggiane Martins;carpeggiane@gmail.com;Rondônia;Norte;69;996000000
Produto A;R$ 500;Cartão de Credito;12;11-Jan-18;Milene Martins;milene@gmail.com;São Paulo;Sudeste;13;981000000
Produto B;R$ 1.000;Cartão de Credito;5;11-Jan-18;Kaliany Martins;kaliany@gmail.com;São Paulo;Sudeste;19;988400000
Produto B;R$ 1.000;Cartão de Credito;1;12-Jan-18;Edison Martins;edison@gmail.com;São Paulo;Sudeste;19;994000000
Produto A;R$ 500;Boleto Bancário;1;12-Jan-18;Tamires Martins;tamires@gmail.com;Ceará;Nordeste;85;991400000
Produto A;R$ 500;Cartão de Credito;1;12-Jan-18;Sergio Martins;sergio@gmail.com;Minas Gerais;Sudeste;31;998000000
Produto B;R$ 1.000;Cartão de Credito;1;12-Jan-18;Euler Martins;euler@gmail.com;São Paulo;Sudeste;16;991100000
Produto A;R$ 500;Boleto Bancário;1;12-Jan-18;Wallysson Martins;wallysson@hotmail.com;Goiás;Centro-Oeste;62;982800000
Produto A;R$ 500;Cartão de Credito;12;12-Jan-18;Isabela Martins;isabela@gmail.com;São Paulo;Sudeste;15;998200000
Produto A;R$ 500;Cartão de Credito;12;12-Jan-18;Axel Martins;axel@hotmail.com;São Paulo;Sudeste;19;983000000
Produto A;R$ 500;Cartão de Credito;12;12-Jan-18;Irineu Martins;irineu@yahoo.com.br;São Paulo;Sudeste;19;992200000
Produto B;R$ 1.000;Cartão de Credito;1;13-Jan-18;Selma Martins;selma@gmail.com;Minas Gerais;Sudeste;31;999400000
Produto C;R$ 2.000;Boleto Bancário;1;13-Jan-18;Jackeline Martins;jackeline@hotmail.com;São Paulo;Sudeste;11;961500000
Produto B;R$ 1.000;Cartão de Credito;12;13-Jan-18;Joan Martins;joan@gmail.com;São Paulo;Sudeste;18;996500000
Produto A;R$ 500;Cartão de Credito;12;13-Jan-18;Iris Martins;iris@hotmail.com;Amazonas;Norte;92;993000000
Produto A;R$ 500;Boleto Bancário;1;13-Jan-18;Theotonio Martins;theotonio@uol.com.br;São Paulo;Sudeste;19;981900000
Produto C;R$ 2.000;Cartão de Credito;5;14-Jan-18;Magda Martins;magda@gmail.com;Santa Catarina;Sul;47;996600000
Produto A;R$ 500;Cartão de Credito;4;14-Jan-18;Herivelton Martins;herivelton@gmail.com;Ceará;Nordeste;85;987200000
Produto A;R$ 500;Boleto Bancário;1;14-Jan-18;Celina Martins;celina@gmail.com;São Paulo;Sudeste;11;970600000
Produto B;R$ 1.000;Boleto Bancário;1;14-Jan-18;Elyndiana Martins;elyndiana@gmail.com;Maranhão;Nordeste;98;989100000
Produto B;R$ 1.000;Boleto Bancário;1;14-Jan-18;Pablo Martins;pablo@hotmail.com;Bahia;Nordeste;77;991700000
Produto A;R$ 500;Cartão de Credito;1;14-Jan-18;Roni Martins;roni@hotmail.com;Espírito Santo;Sudeste;27;998500000
Produto A;R$ 500;Cartão de Credito;1;14-Jan-18;Joana Martins;joana@hotmail.com;Santa Catarina;Sul;48;988000000
Produto C;R$ 2.000;Cartão de Credito;3;14-Jan-18;Luiza Martins;luiza@hotmail.com;Rio de Janeiro;Sudeste;21;976200000
Produto B;R$ 1.000;Boleto Bancário;1;15-Jan-18;Nicole Martins;nicole@hotmail.com;São Paulo;Sudeste;11;940000000
Produto A;R$ 500;Cartão de Credito;3;15-Jan-18;Monalisa Martins;monalisa@gmail.com;Rio de Janeiro;Sudeste;21;970400000
Produto C;R$ 2.000;Cartão de Credito;12;15-Jan-18;Ederson Martins;ederson@hotmail.com;São Paulo;Sudeste;18;996800000
Produto B;R$ 1.000;Cartão de Credito;1;15-Jan-18;Danielly Martins;danielly@live.com;Bahia;Nordeste;71;992300000
Produto A;R$ 500;Cartão de Credito;5;16-Jan-18;Gleicia Martins;gleicia@gmail.com;São Paulo;Sudeste;11;964400000
Produto C;R$ 2.000;Cartão de Credito;12;16-Jan-18;Shiguenori Martins;shiguenori@hotmail.com;São Paulo;Sudeste;11;983700000
Produto B;R$ 1.000;Cartão de Credito;12;16-Jan-18;Aldenize Martins;aldenize@gmail.com;Amazonas;Norte;92;992300000
Produto B;R$ 1.000;Cartão de Credito;12;16-Jan-18;Gesio Martins;gesio@gmail.com;Espírito Santo;Sudeste;28;999800000
Produto A;R$ 500;Cartão de Credito;12;16-Jan-18;Luciana Martins;luciana@gmail.com;São Paulo;Sudeste;11;999900000
Produto B;R$ 1.000;Cartão de Credito;6;16-Jan-18;Adalto Martins;adalto@gmail.com;Mato Grosso;Centro-Oeste;65;996700000
Produto B;R$ 1.000;Cartão de Credito;12;16-Jan-18;Sileno Martins;sileno@gmail.com;Paraíba;Nordeste;83;998400000
Produto C;R$ 2.000;Cartão de Credito;6;17-Jan-18;Neimar Martins;neimar@gmail.com;Espírito Santo;Sudeste;28;999000000
Produto B;R$ 1.000;Cartão de Credito;3;17-Jan-18;Anthonione Martins;anthonione@hotmail.com;São Paulo;Sudeste;11;963400000
Produto A;R$ 500;Boleto Bancário;1;17-Jan-18;Lukas Martins;lukas@hotmail.com;Paraná;Sul;41;991300000
Produto A;R$ 500;Cartão de Credito;12;17-Jan-18;Sulzana Martins;sulzana@gmail.com;São Paulo;Sudeste;12;991400000
Produto B;R$ 1.000;Cartão de Credito;1;17-Jan-18;Cesar Martins;cesar@gmail.com;Minas Gerais;Sudeste;34;992400000
Produto B;R$ 1.000;Cartão de Credito;12;18-Jan-18;Raiana Martins;raiana@yahoo.com.br;São Paulo;Sudeste;11;973800000
Produto C;R$ 2.000;Cartão de Credito;12;18-Jan-18;Welder Martins;welder@gmail.com;São Paulo;Sudeste;15;996700000
Produto A;R$ 500;Cartão de Credito;12;18-Jan-18;Eric Martins;eric@hotmail.com;Rio de Janeiro;Sudeste;22;981200000
Produto B;R$ 1.000;Boleto Bancário;1;19-Jan-18;Karolaine Martins;karolaine@gmail.com;Amazonas;Norte;92;995100000
Produto B;R$ 1.000;Cartão de Credito;12;19-Jan-18;Baltazar Martins;baltazar@hotmail.com;Goiás;Centro-Oeste;64;993300000
Produto A;R$ 500;Cartão de Credito;10;19-Jan-18;Isadora Martins;isadora@hotmail.com;Paraná;Sul;41;992600000
Produto A;R$ 500;Boleto Bancário;1;19-Jan-18;Johnatan Martins;johnatan@gmail.com;Minas Gerais;Sudeste;31;983100000
Produto C;R$ 2.000;Cartão de Credito;12;19-Jan-18;Rosângela Martins;rosangela@gmail.com;São Paulo;Sudeste;12;982100000
Produto C;R$ 2.000;Cartão de Credito;12;19-Jan-18;Marcelo Martins;marcelo@gmail.com;São Paulo;Sudeste;12;991400000
Produto C;R$ 2.000;Cartão de Credito;10;19-Jan-18;Andrezza Martins;andrezza@gmail.com;São Paulo;Sudeste;17;996700000
Produto B;R$ 1.000;Cartão de Credito;12;19-Jan-18;Jussiane Martins;jussiane@gmail.com;Bahia;Nordeste;71;997000000
Produto C;R$ 2.000;Cartão de Credito;1;19-Jan-18;Thaiz Martins;thaiz@gmail.com;Rio de Janeiro;Sudeste;21;979100000
Produto A;R$ 500;Cartão de Credito;4;19-Jan-18;Karla Martins;karla@outlook.com;Sergipe;Nordeste;79;991200000
Produto B;R$ 1.000;Cartão de Credito;1;20-Jan-18;Bianca Martins;bianca@gmail.com;Rio de Janeiro;Sudeste;21;992500000
Produto C;R$ 2.000;Cartão de Credito;12;20-Jan-18;Rebeka Martins;rebeka@gmail.com;Rio de Janeiro;Sudeste;21;994500000
Produto A;R$ 500;Boleto Bancário;12;20-Jan-18;Gislene Martins;gislene@hotmail.com;São Paulo;Sudeste;11;947300000
Produto A;R$ 500;Cartão de Credito;6;20-Jan-18;Allisson Martins;allisson@gmail.com;Ceará;Nordeste;85;999000000
Produto C;R$ 2.000;Cartão de Credito;12;21-Jan-18;Tairine Martins;tairine@hotmail.com;Minas Gerais;Sudeste;31;986000000
Produto A;R$ 500;Cartão de Credito;12;21-Jan-18;Amanda Martins;amanda@hotmail.com;Minas Gerais;Sudeste;31;994600000
Produto A;R$ 500;Boleto Bancário;1;21-Jan-18;Enrique Martins;enrique@hotmail.com;São Paulo;Sudeste;11;998700000
Produto B;R$ 1.000;Cartão de Credito;10;21-Jan-18;Poliana Martins;poliana@outlook.com;São Paulo;Sudeste;11;951200000
Produto A;R$ 500;Cartão de Credito;10;21-Jan-18;Naelson Martins;naelson@gmail.com;São Paulo;Sudeste;11;954700000
Produto C;R$ 2.000;Cartão de Credito;12;21-Jan-18;Washington Martins;washington@gmail.com;São Paulo;Sudeste;16;992600000
Produto C;R$ 2.000;Cartão de Credito;12;21-Jan-18;Girlane Martins;girlane@gmail.com;Rio Grande do Sul;Sul;51;996100000
Produto B;R$ 1.000;Cartão de Credito;12;22-Jan-18;Nícolas Martins;nicolas@hotmail.com;São Paulo;Sudeste;11;964700000
Produto A;R$ 500;Cartão de Credito;12;22-Jan-18;Nayara Martins;nayara@gmail.com;Minas Gerais;Sudeste;31;987700000
Produto A;R$ 500;Cartão de Credito;12;22-Jan-18;Jheniffer Martins;jheniffer@hotmail.com;Rio de Janeiro;Sudeste;24;993000000
Produto A;R$ 500;Cartão de Credito;6;22-Jan-18;Francisco Martins;francisco@hotmail.com;Piauí;Nordeste;89;999200000
Produto B;R$ 1.000;Cartão de Credito;12;22-Jan-18;Lindivaldo Martins;lindivaldo@hotmail.com;Paraíba;Nordeste;83;991800000
Produto C;R$ 2.000;Cartão de Credito;1;22-Jan-18;Yara Martins;yara@hotmail.com;São Paulo;Sudeste;15;997000000
Produto B;R$ 1.000;Cartão de Credito;1;23-Jan-18;Claudia Martins;claudia@hotmail.com;São Paulo;Sudeste;11;994800000
Produto A;R$ 500;Cartão de Credito;7;23-Jan-18;Phillippi Martins;phillippi@gmail.com;Rio de Janeiro;Sudeste;21;992600000
Produto A;R$ 500;Cartão de Credito;4;23-Jan-18;Renata Martins;renata@gmail.com;Rio Grande do Sul;Sul;55;996600000
Produto B;R$ 1.000;Cartão de Credito;6;23-Jan-18;Geiza Martins;geiza@hotmail.com;Bahia;Nordeste;71;987900000
Produto C;R$ 2.000;Cartão de Credito;12;23-Jan-18;Adelone Martins;adelone@gmail.com;Minas Gerais;Sudeste;34;988500000
Produto B;R$ 1.000;Cartão de Credito;12;24-Jan-18;Evelyn Martins;evelyn@hotmail.com;Pará;Norte;91;982000000
Produto C;R$ 2.000;Cartão de Credito;1;24-Jan-18;Tamy Martins;tamy@gmail.com;São Paulo;Sudeste;11;998400000
Produto A;R$ 500;Cartão de Credito;9;24-Jan-18;Alichele Martins;alichele@gmail.com;Bahia;Nordeste;71;982100000
Produto B;R$ 1.000;Cartão de Credito;1;24-Jan-18;Isabella Martins;isabella@gmail.com;Minas Gerais;Sudeste;31;971200000
Produto A;R$ 500;Boleto Bancário;1;24-Jan-18;Fabricia Martins;fabricia@gmail.com;Minas Gerais;Sudeste;31;995100000
Produto C;R$ 2.000;Cartão de Credito;12;24-Jan-18;Ijoel Martins;ijoel@hotmail.com;São Paulo;Sudeste;11;998500000
Produto C;R$ 2.000;Cartão de Credito;12;24-Jan-18;Cinthia Martins;cinthia@hotmail.com;Rio de Janeiro;Sudeste;21;994700000
Produto B;R$ 1.000;Boleto Bancário;1;24-Jan-18;Valdinar Martins;valdinar@yahoo.com.br;Pará;Norte;94;992600000
Produto B;R$ 1.000;Cartão de Credito;1;24-Jan-18;Sílvia Martins;silvia@gmail.com;Paraíba;Nordeste;83;999000000
Produto C;R$ 2.000;Boleto Bancário;1;24-Jan-18;Nicicley Martins;nicicley@yahoo.com.br;Rio de Janeiro;Sudeste;21;993100000
Produto B;R$ 1.000;Boleto Bancário;1;25-Jan-18;Nildomar Martins;nildomar@gmail.com;São Paulo;Sudeste;11;998700000
Produto A;R$ 500;Cartão de Credito;4;25-Jan-18;Tayna Martins;tayna@hotmail.com;Paraná;Sul;41;992800000
Produto B;R$ 1.000;Cartão de Credito;3;25-Jan-18;Albino Martins;albino@gmail.com;Rio de Janeiro;Sudeste;22;999400000
Produto A;R$ 500;Cartão de Credito;12;25-Jan-18;Lane Martins;lane@hotmail.com;Rio de Janeiro;Sudeste;21;997900000
Produto C;R$ 2.000;Cartão de Credito;1;26-Jan-18;Bernardo Martins;bernardo@hotmail.com;Rio de Janeiro;Sudeste;21;995800000
Produto A;R$ 500;Cartão de Credito;12;26-Jan-18;Dayane Martins;dayane@hotmail.com;Minas Gerais;Sudeste;31;971100000
Produto A;R$ 500;Boleto Bancário;1;26-Jan-18;Estevan Martins;estevan@hotmail.com;São Paulo;Sudeste;11;998100000
Produto A;R$ 500;Cartão de Credito;1;26-Jan-18;Marcel Martins;marcel@outlook.com;São Paulo;Sudeste;11;984000000
Produto A;R$ 500;Boleto Bancário;1;26-Jan-18;Otto Martins;otto@gmail.com;Alagoas;Nordeste;82;999900000
Produto C;R$ 2.000;Boleto Bancário;1;27-Jan-18;Cassiana Martins;cassiana@gmail.com;Rio Grande do Sul;Sul;54;984300000
Produto A;R$ 500;Cartão de Credito;12;27-Jan-18;Jocimar Martins;jocimar@gmail.com;Bahia;Nordeste;71;992700000
Produto B;R$ 1.000;Cartão de Credito;12;27-Jan-18;Jobel Martins;jobel@gmail.com;São Paulo;Sudeste;11;944500000
Produto A;R$ 500;Cartão de Credito;5;27-Jan-18;Vitoriana Martins;vitoriana@gmail.com;São Paulo;Sudeste;11;949600000
Produto A;R$ 500;Cartão de Credito;12;27-Jan-18;Claudilene Martins;claudilene@gmail.com;Mato Grosso;Centro-Oeste;65;993000000
Produto A;R$ 500;Cartão de Credito;12;27-Jan-18;Veruska Martins;veruska@hotmail.com;São Paulo;Sudeste;11;971700000
Produto C;R$ 2.000;Cartão de Credito;1;27-Jan-18;Valmirim Martins;valmirim@gmail.com;Distrito Federal;Centro-Oeste;61;982200000
Produto B;R$ 1.000;Cartão de Credito;12;28-Jan-18;Lilia Martins;lilia@yahoo.com.br;São Paulo;Sudeste;11;984800000
Produto B;R$ 1.000;Cartão de Credito;12;28-Jan-18;Erley Martins;erley@gmail.com;Goiás;Centro-Oeste;64;981200000
Produto B;R$ 1.000;Cartão de Credito;12;28-Jan-18;Eleonora Martins;eleonora@gmail.com;São Paulo;Sudeste;11;977000000
Produto A;R$ 500;Cartão de Credito;1;28-Jan-18;Rafaela Martins;rafaela@gmail.com;São Paulo;Sudeste;11;993200000
Produto A;R$ 500;Cartão de Credito;6;28-Jan-18;Mariana Martins;mariana@hotmail.com;Paraná;Sul;46;999800000
Produto B;R$ 1.000;Cartão de Credito;12;28-Jan-18;Jesianne Martins;jesianne@hotmail.com;Espírito Santo;Sudeste;27;998400000
Produto B;R$ 1.000;Boleto Bancário;1;28-Jan-18;Andre Martins;andre@gmail.com;Espírito Santo;Sudeste;27;999700000
Produto A;R$ 500;Cartão de Credito;3;28-Jan-18;Dieizon Martins;dieizon@gmail.com;Paraná;Sul;41;992000000
Produto A;R$ 500;Cartão de Credito;1;28-Jan-18;Ayrton Martins;ayrton@gmail.com;São Paulo;Sudeste;11;966900000
Produto A;R$ 500;Cartão de Credito;1;28-Jan-18;Daniel Martins;daniel@gmail.com;Rio de Janeiro;Sudeste;21;992200000
Produto C;R$ 2.000;Cartão de Credito;1;29-Jan-18;Fernanda Martins;fernanda@yahoo.com.br;Rio de Janeiro;Sudeste;21;997900000
Produto B;R$ 1.000;Cartão de Credito;8;30-Jan-18;Elza Martins;elza@hotmail.com;São Paulo;Sudeste;11;963400000
Produto A;R$ 500;Cartão de Credito;12;30-Jan-18;Agnaldo Martins;agnaldo@yahoo.com.br;São Paulo;Sudeste;16;991200000
Produto A;R$ 500;Cartão de Credito;12;30-Jan-18;Vilcelino Martins;vilcelino@hotmail.com;Bahia;Nordeste;73;981900000
Produto C;R$ 2.000;Cartão de Credito;6;30-Jan-18;Celio Martins;celio@yahoo.com.br;Minas Gerais;Sudeste;31;997600000
Produto A;R$ 500;Cartão de Credito;12;30-Jan-18;Lizandra Martins;lizandra@gmail.com;Paraná;Sul;41;998500000
Produto C;R$ 2.000;Cartão de Credito;1;30-Jan-18;Robson Martins;robson@gmail.com;São Paulo;Sudeste;11;957900000
Produto C;R$ 2.000;Boleto Bancário;1;30-Jan-18;Romeu Martins;romeu@hotmail.com;São Paulo;Sudeste;11;998500000
Produto C;R$ 2.000;Boleto Bancário;1;31-Jan-18;Cleusa Martins;cleusa@gmail.com;São Paulo;Sudeste;11;996900000
Produto C;R$ 2.000;Cartão de Credito;8;31-Jan-18;Gessika Martins;gessika@outlook.com;Pernambuco;Nordeste;81;998700000
Produto B;R$ 1.000;Cartão de Credito;4;31-Jan-18;Alicia Martins;alicia@outlook.com;São Paulo;Sudeste;11;983700000
Produto B;R$ 1.000;Cartão de Credito;1;31-Jan-18;Mykael Martins;mykael@gmail.com;Ceará;Nordeste;85;999400000
Produto C;R$ 2.000;Cartão de Credito;12;31-Jan-18;Perla Martins;perla@hotmail.com;Rio de Janeiro;Sudeste;21;974100000
Produto C;R$ 2.000;Cartão de Credito;12;31-Jan-18;Julien Martins;julien@gmail.com;São Paulo;Sudeste;11;985900000
Produto C;R$ 2.000;Boleto Bancário;1;31-Jan-18;Valesca Martins;valesca@gmail.com;Rio de Janeiro;Sudeste;21;973000000
Produto C;R$ 2.000;Cartão de Credito;12;31-Jan-18;Urbano Martins;urbano@hotmail.com;Minas Gerais;Sudeste;37;991900000
Produto C;R$ 2.000;Cartão de Credito;1;1-Feb-18;Beatriz Martins;beatriz@gmail.com;Rio de Janeiro;Sudeste;21;998800000
Produto C;R$ 2.000;Boleto Bancário;1;1-Feb-18;Quezia Martins;quezia@outlook.com;Bahia;Nordeste;75;992400000
Produto B;R$ 1.000;Cartão de Credito;12;1-Feb-18;Marlon Martins;marlon@outlook.com;Paraná;Sul;46;999400000
Produto B;R$ 1.000;Cartão de Credito;12;1-Feb-18;Jeremias Martins;jeremias@gmail.com;Amapá;Norte;96;991500000
Produto B;R$ 1.000;Cartão de Credito;10;1-Feb-18;Weslei Martins;weslei@gmail.com;São Paulo;Sudeste;11;948100000
Produto C;R$ 2.000;Cartão de Credito;4;1-Feb-18;Jamile Martins;jamile@hotmail.com;Bahia;Nordeste;71;991400000
Produto B;R$ 1.000;Cartão de Credito;10;1-Feb-18;Gesiel Martins;gesiel@hotmail.com;Distrito Federal;Centro-Oeste;61;992100000
Produto B;R$ 1.000;Cartão de Credito;1;1-Feb-18;Edson Martins;edson@gmail.com;Rio Grande do Sul;Sul;55;999500000
Produto B;R$ 1.000;Boleto Bancário;1;1-Feb-18;Olivier Martins;olivier@hotmail.com;Rio de Janeiro;Sudeste;22;997200000
Produto B;R$ 1.000;Cartão de Credito;12;1-Feb-18;Wilmar Martins;wilmar@hotmail.com;Minas Gerais;Sudeste;38;998700000
Produto C;R$ 2.000;Cartão de Credito;1;2-Feb-18;Janes Martins;janes@gmail.com;Maranhão;Nordeste;98;981000000
Produto C;R$ 2.000;Boleto Bancário;1;2-Feb-18;Estevan Martins;estevan@hotmail.com;São Paulo;Sudeste;11;998100000
Produto B;R$ 1.000;Cartão de Credito;10;2-Feb-18;Iran Martins;iran@hotmail.com;São Paulo;Sudeste;11;997000000
Produto B;R$ 1.000;Cartão de Credito;5;2-Feb-18;Yann Martins;yann@gmail.com;Rio de Janeiro;Sudeste;21;994800000
Produto A;R$ 500;Cartão de Credito;6;2-Feb-18;Gilzicaren Martins;gilzicaren@gmail.com;Minas Gerais;Sudeste;35;999000000
Produto A;R$ 500;Boleto Bancário;1;3-Feb-18;Robert Martins;robert@hotmail.com;São Paulo;Sudeste;11;988500000
